algo,cache_size,hit_ratio
LRU,10M,.1634
LFU,10M,.1755
ARC,10M,.1752
LeCaR,10M,.1725
LHD,10M,.1797
LRB,10M,.1634
LRU,50M,.1723
LFU,50M,.1826
ARC,50M,.1870
LeCaR,50M,.1742
LHD,50M,.1972
LRB,50M,.1723
LRU,100M,.1790
LFU,100M,.1919
ARC,100M,.2033
LeCaR,100M,.1800
LHD,100M,.2096
LRB,100M,.1790
