request,hit_ratio,weight_lru,weight_lfu,weight_nn
10000.0,0.6502,0.3248176138859247,0.6199397905298792,0.055242595584196065
20000.0,0.6698,0.3123665692630427,0.6039952391078125,0.08363819162914482
30000.0,0.6787666666666666,0.32272198957931164,0.5759094357313309,0.10136857468935737
40000.0,0.683675,0.22525671301924116,0.6510422556864014,0.12370103129435744
50000.0,0.68736,0.35107519520260705,0.5264004125223456,0.12252439227504731
60000.0,0.6879666666666666,0.33976010475527224,0.5646032047548086,0.09563669048991909
70000.0,0.6907285714285715,0.3940289607602457,0.5140729495210314,0.0918980897187228
80000.0,0.6919375,0.16640111830545126,0.757756963648436,0.07584191804611276
90000.0,0.6935777777777777,0.4256098842332384,0.5289360915580078,0.04545402420875384
100000.0,0.69447,0.19894731689228418,0.6562403658603603,0.14481231724735555
110000.0,0.6955545454545454,0.3147348682412035,0.6169234481819861,0.06834168357681049
120000.0,0.6953583333333333,0.19802639856751833,0.7561041955161322,0.045869405916349526
130000.0,0.6962769230769231,0.5051836419525386,0.33317083361113503,0.16164552443632632
140000.0,0.6963428571428572,0.23043618790625467,0.7039178897315165,0.06564592236222887
150000.0,0.69708,0.3579119726401707,0.5416059769695611,0.10048205039026809
160000.0,0.69799375,0.30217825033598367,0.6320337412169292,0.06578800844708711
170000.0,0.6984176470588235,0.41692264454570177,0.4972415805485569,0.08583577490574144
180000.0,0.6988944444444445,0.23696663263493156,0.7424685052804213,0.02056486208464715
190000.0,0.6998315789473685,0.2557202265208298,0.6781602832284077,0.06611949025076243
200000.0,0.699665,0.3229909773654342,0.4989726527768446,0.17803636985772123
210000.0,0.7036285714285714,0.1268032250278488,0.7201375236389016,0.15305925133324969
220000.0,0.7077227272727272,0.0729586408389699,0.6421184351932988,0.28492292396773133
230000.0,0.7112,0.295943365783368,0.26952629100692427,0.43453034320970774
240000.0,0.7145208333333334,0.09293530940716681,0.48874492634256456,0.4183197642502686
250000.0,0.717628,0.08683511847010802,0.49979242965867776,0.4133724518712142
260000.0,0.7205153846153847,0.21872095937667427,0.4905082663267082,0.2907707742966175
270000.0,0.7227925925925925,0.20190990494381006,0.46705829010238403,0.33103180495380596
280000.0,0.7253535714285714,0.15252083774728978,0.4708738065760698,0.37660535567664044
290000.0,0.7274724137931035,0.09108022846325975,0.4443296237777767,0.46459014775896357
300000.0,0.72937,0.0951588763083028,0.6955434745204511,0.20929764917124613
310000.0,0.7313451612903226,0.16462646325565253,0.6398998993946936,0.1954736373496538
320000.0,0.733390625,0.16879210778412457,0.41267989361880164,0.41852799859707374
330000.0,0.7351696969696969,0.05430914666961378,0.4788192773219615,0.4668715760084247
340000.0,0.7369235294117648,0.08341081307646511,0.31206844669081213,0.6045207402327228
350000.0,0.7385514285714285,0.11149126102338053,0.3103144184401873,0.5781943205364322
360000.0,0.7399055555555556,0.15538656537554799,0.4134137134878157,0.43119972113663635
370000.0,0.7412486486486487,0.1370366956925348,0.4793267152691113,0.3836365890383539
380000.0,0.7427868421052631,0.10639793377313903,0.26693346861456385,0.6266685976122972
390000.0,0.7439974358974359,0.11118181509349623,0.17902038938188417,0.7097977955246195
400000.0,0.7451975,0.10804512566937384,0.34432993501643183,0.5476249393141944
