algo,cache_size,hit_ratio
LRU,10M,0.01749999999999996
LFU,10M,0.019000000000000017
ARC,10M,0.019100000000000006
LeCaR,10M,0.01759999999999995
LHD,10M,0.01759999999999995
LRB,10M,0.023599999999999954
